title,price_gbp,rating
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4
A Year in Provence (Provence #1),56.88,4
"1,000 Places to See Before You Die",26.08,5
Sharp Objects,47.82,4
The Past Never Ends,56.5,4
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4
A Time of Torment (Charlie Parker #14),48.35,5
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4
Join,35.67,5
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4
Arena,21.36,4
Ready Player One,19.07,4
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,4
A Flight of Arrows (The Pathfinders #2),55.53,5
Mrs. Houdini,30.25,5
The Marriage of Opposites,28.08,4
A Paris Apartment,39.01,4
World Without End (The Pillars of the Earth #2),32.97,4
The Passion of Dolssa,28.32,5
Voyager (Outlander #3),21.07,5
The Red Tent,35.66,5
